OBJECT_TYPE,OBJECT_ID,LEGAL_TEXT_ID,ARTICLE,VALID_FROM,VALID_TO
VARIABLE,IMMDT_PRNT_UNDRT_ID,CRR_REGULATION,Article 4(1)(15)(a) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,ULTMT_PRNT_UNDRT_CD,CRR_REGULATION,Article 4(1)(15)(a) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,ULTMT_PRNT_UNDRT_ID,CRR_REGULATION,Article 4(1)(15)(a) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR,FVC_STATS_REGULATION,Regulation (EU) No 1075/2013 of the European Central Bank (ECB/2013/40)(1),2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR_DTL_LE,CRR_REGULATION,Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR_DTL_LE,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
VARIABLE,ECNMC_ACTVTY_LE,NACE_REV2_REGULATION,Regulation (EC) No 1893/2006,2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR_LE,FVC_STATS_REGULATION,Regulation (EU) No 1075/2013 of the European Central Bank (ECB/2013/40)(1),2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR_DTL,FVC_STATS_REGULATION,Regulation (EU) No 1075/2013 of the European Central Bank (ECB/2013/40)(1),2025-02-12,9999-12-31
VARIABLE,ANNLSD_AGRD_RT,MIR_STATISTICS_REGULATION,Regulation (EU) No 1072/2013 of the European Central Bank (ECB/2013/34),2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR_DTL_LE,FVC_STATS_REGULATION,Regulation (EU) No 1075/2013 of the European Central Bank (ECB/2013/40)(1),2025-02-12,9999-12-31
VARIABLE,ACCRD_INTRST,MFI_BALANCE_SHEET_REGULATION,Regulation (EU) No 1071/2013 (ECB/2013/33),2025-02-12,9999-12-31
VARIABLE,NMBR_EMPLYS,SME_DEFINITION_RECOMMENDATION,Article 5 of the Annex to Recommendation 2003/361/EC,2025-02-12,9999-12-31
VARIABLE,TRRTRL_UNT,NUTS_CLASSIFICATION_REGULATION,Regulation (EC) No 1059/2003,2025-02-12,9999-12-31
VARIABLE,NMBR_EMPLYS_LE,SME_DEFINITION_RECOMMENDATION,Article 5 of the Annex to Recommendation 2003/361/EC,2025-02-12,9999-12-31
VARIABLE,ECNMC_ACTVTY_V2,NACE_REV2_AMENDING_REGULATION,Commission Delegated Regulation (EU) 2023/137,2025-02-12,9999-12-31
VARIABLE,DT_PST_D,ITS_SUPERVISORY_REPORTING_REGULATION,Part 2.48 of Annex V to Implementing Regulation (EU) No 680/2014,2025-02-12,9999-12-31
VARIABLE,CRRYNG_AMNT,ITS_SUPERVISORY_REPORTING_REGULATION,Annex V to Implementing Regulation (EU) No 680/2014,2025-02-12,9999-12-31
VARIABLE,SRC_ENCMBRNC,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
VARIABLE,PRFRMNG_STTS,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
VARIABLE,DT_NXT_INTRST_RT_RST,MFI_BALANCE_SHEET_REGULATION,Part 3 of Annex I to Regulation (EU) No 1071/2013 (ECB/2013/33),2025-02-12,9999-12-31
VARIABLE,PRJCT_FNNC_LN,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
VARIABLE,ACCRD_INTRST_INSTRMNT,MFI_BALANCE_SHEET_REGULATION,Regulation (EU) No 1071/2013 (ECB/2013/33),2025-02-12,9999-12-31
VARIABLE,ACCNTNG_CLSSFCTN,ECB_SUPERVISORY_FINREP_REGULATION,Regulation (EU) 2015/534 (ECB/2015/13),2025-02-12,9999-12-31
VARIABLE,ACCMLTD_CHNGS_FV_CR,ITS_SUPERVISORY_REPORTING_REGULATION,Part 2.46 of Annex V to Implementing Regulation (EU) No 680/2014,2025-02-12,9999-12-31
VARIABLE,CRRYNG_AMNT_INSTRMNT,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
VARIABLE,ACCMLTD_CHNGS_FV_CR_INSTRMNT,ITS_SUPERVISORY_REPORTING_REGULATION,Part 2.46 of Annex V to Implementing Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S125_J,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S12_MFI_C,MFI_BALANCE_SHEET_REGULATION,Article 9(1) of Regulation ECB/2013/33,2025-02-12,9999-12-31
