VARIABLE_SET_ID,VARIABLE_ID,VALID_FROM,VALID_TO,SUBDOMAIN_ID,IS_FLOW,ORDER
ECB6_EBA_432182,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432196,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432183,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432193,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432192,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432194,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432195,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432198,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432199,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432197,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432191,EBA_MI339,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432775,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432780,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432791,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432779,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432790,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432776,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432777,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432786,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432778,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432783,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432782,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432784,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432785,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432788,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
ECB6_EBA_432789,EBA_MI507,1900-01-01,9999-12-31,EBA_Monetary,false,1
