MAINTENANCE_AGENCY_ID,VARIABLE_SET_ID,NAME,CODE,DESCRIPTION
ECB6,ECB6_EBA_431728,Variable set for combination EBA_431728,EBA_431728,Variable set for combination EBA_431728
ECB6,ECB6_EBA_431573,Variable set for combination EBA_431573,EBA_431573,Variable set for combination EBA_431573
ECB6,ECB6_EBA_432538,Variable set for combination EBA_432538,EBA_432538,Variable set for combination EBA_432538
ECB6,ECB6_EBA_432574,Variable set for combination EBA_432574,EBA_432574,Variable set for combination EBA_432574
ECB6,ECB6_EBA_432318,Variable set for combination EBA_432318,EBA_432318,Variable set for combination EBA_432318
ECB6,ECB6_EBA_432162,Variable set for combination EBA_432162,EBA_432162,Variable set for combination EBA_432162
ECB6,ECB6_EBA_432150,Variable set for combination EBA_432150,EBA_432150,Variable set for combination EBA_432150
ECB6,ECB6_EBA_432765,Variable set for combination EBA_432765,EBA_432765,Variable set for combination EBA_432765
ECB6,ECB6_EBA_433194,Variable set for combination EBA_433194,EBA_433194,Variable set for combination EBA_433194
ECB6,ECB6_EBA_433214,Variable set for combination EBA_433214,EBA_433214,Variable set for combination EBA_433214
ECB6,ECB6_EBA_433234,Variable set for combination EBA_433234,EBA_433234,Variable set for combination EBA_433234
ECB6,ECB6_EBA_431698,Variable set for combination EBA_431698,EBA_431698,Variable set for combination EBA_431698
ECB6,ECB6_EBA_431718,Variable set for combination EBA_431718,EBA_431718,Variable set for combination EBA_431718
ECB6,ECB6_EBA_431561,Variable set for combination EBA_431561,EBA_431561,Variable set for combination EBA_431561
ECB6,ECB6_EBA_432526,Variable set for combination EBA_432526,EBA_432526,Variable set for combination EBA_432526
ECB6,ECB6_EBA_432561,Variable set for combination EBA_432561,EBA_432561,Variable set for combination EBA_432561
ECB6,ECB6_EBA_432304,Variable set for combination EBA_432304,EBA_432304,Variable set for combination EBA_432304
ECB6,ECB6_EBA_432136,Variable set for combination EBA_432136,EBA_432136,Variable set for combination EBA_432136
ECB6,ECB6_EBA_432124,Variable set for combination EBA_432124,EBA_432124,Variable set for combination EBA_432124
ECB6,ECB6_EBA_432753,Variable set for combination EBA_432753,EBA_432753,Variable set for combination EBA_432753
ECB6,ECB6_EBA_433104,Variable set for combination EBA_433104,EBA_433104,Variable set for combination EBA_433104
ECB6,ECB6_EBA_433124,Variable set for combination EBA_433124,EBA_433124,Variable set for combination EBA_433124
ECB6,ECB6_EBA_433144,Variable set for combination EBA_433144,EBA_433144,Variable set for combination EBA_433144
ECB6,ECB6_EBA_431480,Variable set for combination EBA_431480,EBA_431480,Variable set for combination EBA_431480
ECB6,ECB6_EBA_431500,Variable set for combination EBA_431500,EBA_431500,Variable set for combination EBA_431500
ECB6,ECB6_EBA_431343,Variable set for combination EBA_431343,EBA_431343,Variable set for combination EBA_431343
ECB6,ECB6_EBA_431521,Variable set for combination EBA_431521,EBA_431521,Variable set for combination EBA_431521
ECB6,ECB6_EBA_432457,Variable set for combination EBA_432457,EBA_432457,Variable set for combination EBA_432457
ECB6,ECB6_EBA_432492,Variable set for combination EBA_432492,EBA_432492,Variable set for combination EBA_432492
ECB6,ECB6_EBA_432268,Variable set for combination EBA_432268,EBA_432268,Variable set for combination EBA_432268
ECB6,ECB6_EBA_432066,Variable set for combination EBA_432066,EBA_432066,Variable set for combination EBA_432066
ECB6,ECB6_EBA_432054,Variable set for combination EBA_432054,EBA_432054,Variable set for combination EBA_432054
ECB6,ECB6_EBA_432719,Variable set for combination EBA_432719,EBA_432719,Variable set for combination EBA_432719
ECB6,ECB6_EBA_433206,Variable set for combination EBA_433206,EBA_433206,Variable set for combination EBA_433206
